Device,Test Name,Test Status,Message(s),Test description,Test category
pulumi-leaf1,VerifyInterfaceDiscards,failure,Interface: Management1 - Non-zero discard counter(s): inDiscards: 848,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
pulumi-leaf2,VerifyRunningConfigDiffs,failure,"--- flash:/startup-config
+++ system:/running-config
@@ -34,6 +34,9 @@
    unsupported speed action error
    unsupported error-correction action error
 !
+vlan 11
+   name VRF10_VLAN11
+!
 vlan 12
    name VRF10_VLAN12
 !
@@ -68,6 +71,11 @@
    vrf MGMT
    ip address 172.16.1.102/24
 !
+interface Vlan11
+   description VRF10_VLAN11
+   vrf VRF10
+   ip address virtual 10.10.11.1/24
+!
 interface Vlan12
    description VRF10_VLAN12
    vrf VRF10
@@ -77,6 +85,7 @@
    description pulumi-leaf2_VTEP
    vxlan source-interface Loopback1
    vxlan udp-port 4789
+   vxlan vlan 11 vni 10011
    vxlan vlan 12 vni 10012
    vxlan vrf VRF10 vni 10
 !
@@ -101,7 +110,7 @@
 router bfd
    multihop interval 300 min-rx 300 multiplier 3
 !
-router bgp 65003
+router bgp 65002
    router-id 10.255.0.4
    no bgp default ipv4-unicast
    maximum-paths 4
@@ -128,6 +137,11 @@
    neighbor 10.255.255.6 description pulumi-spine2_Ethernet2
    redistribute connected route-map RM-CONN-2-BGP
    !
+   vlan 11
+      rd 10.255.0.4:10011
+      route-target both 10011:10011
+      redistribute learned
+   !
    vlan 12
       rd 10.255.0.4:10012
       route-target both 10012:10012
",Verifies there is no difference between the running-config and the startup-config.,Configuration
pulumi-leaf2,VerifyInterfaceDiscards,failure,Interface: Management1 - Non-zero discard counter(s): inDiscards: 849,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
pulumi-spine1,VerifyInterfaceDiscards,failure,Interface: Management1 - Non-zero discard counter(s): inDiscards: 848,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
pulumi-spine2,VerifyInterfaceDiscards,failure,Interface: Management1 - Non-zero discard counter(s): inDiscards: 848,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
pulumi-leaf1,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
pulumi-leaf1,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
pulumi-leaf1,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
pulumi-leaf1,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
pulumi-leaf1,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
